filename,citations,circumstance,year,RTNs,location,link
2-0013267 - MILFORD - NON  12-11-2001,"['40.0314', '40.0501', '40.0315', '40.0443', '40.0404']","on april 29, 2000 the department was notified of a release of diesel fuel at the abovereferenced site. the diesel fuel entered a catch basin in the parking lot at the site and subsequently was released to a brook that discharges to the charles river. a notice of responsibility was issued to summit building management on june 9, 2000. a tier classification submittal or response action outcome statement rao was therefore required on or before april 29, 2001. no tier classification submittal or rao has been received by the department.",2001,2-0013267,MILFORD,https://eeaonline.eea.state.ma.us/EEA/fileviewer/Rtn.aspx?rtn=2-0013267
2-0000063 - HOLLISTON - NON  01-15-2003,['40.0550'],"a tier ic permit was issued to you, paul coan, and was accepted and became effective on october 4, 2000. the deadline for completion and submittal of a phase ii comprehensive site assessment csa and phase hi remedial action plan rap was october 4, 2002. the department has not received a phase ii csa or phase ii rap.",2003,2-0000063,HOLLISTON,https://eeaonline.eea.state.ma.us/EEA/fileviewer/Rtn.aspx?rtn=2-0000063
2-0011053 - HOLLISTON - NON  04-25-2000,['40.0932'],"the response action outcome rao, received by the department on october 21,1998, . . classifies groundwater at the site as gw2 and gw3. the site was included in a dep approved zone ii wellhead protection area in march 1997. the site is also within the holliston aquifer protection district and a potentially productive aquifer. a licensed site professional opinion was made in the rao report stating the site should not be included in the zone ii because of flaws in the zone ii delineation model. the mcp does not allow use of an lsp opinion as part of an rao submittal to reclassify groundwater within an approved zone ii area. gw1 groundwater standards are applicable to this location this isa violation of 310 cmr 40.0932 class i violation.",2000,2-0011053,HOLLISTON,https://eeaonline.eea.state.ma.us/EEA/fileviewer/Rtn.aspx?rtn=2-0011053
2-0000642 - AYER - NON  09-25-2003,"['40.0740', '40.0550']","the department issued you a tier ic permit, which became effective on august 19, 1994 and expired on august 19, 1999, the deadline for completion and submittal of a response action outcome statement rao was august 19, 1999, the department did not receive an rao within the required deadline. you requested a tier ic permit extension, which the department issued, and which became effective on january 31, 2000 and expired on august 19, 2001. you requested a second tier ic permit extension. the department issued a conditional tier ic permit extension which required that you attain a temporary or permanent solution and submit an rao by the expiration of the extension on august 19, 2003. you recently requested a third tier ic permit extension. . the department anticipates that the current permit extension application will be presumptively approved on september 29, 2003. if approved, the permit extension will expire mr. mikes citgo, 27 harvard road, ayer",2003,2-0000642,AYER,https://eeaonline.eea.state.ma.us/EEA/fileviewer/Rtn.aspx?rtn=2-0000642
2-0012746 - DUDLEY - NON  11-21-2000,['40.0022'],"as previously described , on march 22, 2000, the department received a phase i initial site investigation and tier ii classification lsp opinion and submittal. in the nrs you opined that no imminent hazard conditions were present at the site. department staff conducted inspections on march 28, 2000 and april 20, 2000 and observed that imminent hazard conditions were present at the site. the phase i report states groundwater, surface water, and sediment may not be a potential migration pathway because the lens grinding compounds and disposal debris are located near the ground surface and were not observed within the riverbed. based on the departments observations at the site, lens grinding waste, predominately red in color, and unidentified factory waste were observed extending from the top.of the river bank and down into the french river.",2000,2-0012746,DUDLEY,https://eeaonline.eea.state.ma.us/EEA/fileviewer/Rtn.aspx?rtn=2-0012746
2-0012746 - DUDLEY - NON  11-21-2000,['40.0000'],"as previously described you provided a tier classification lsp opinion for this site that was not completed in accordance with m.g.l. c..21e and 310 cmr 40.0000. specifically, the department observed the following noncompliance e the phase i investigation failed to include the required three groundwater monitoring wells or technical justification as to why these would not be necessary e the nrs scoresheet was completed incorrectly based on the available data as previously discussed and, 7 e the site was classified as a tier il disposal site despite the presence of an imminent hazard condition, which is one of the tier i inclusionary criteria.",2000,2-0012746,DUDLEY,https://eeaonline.eea.state.ma.us/EEA/fileviewer/Rtn.aspx?rtn=2-0012746
2-0013494 - BERLIN - NON 12-11-2001,"['40.0420', '40.0333']","the department was notified of a sudden release of fuel oil at the site on september 19, 2000. private drinking water supply wells are located on site and at neighboring residences. you were required to submit a release notification form rnf and ira plan within sixty 60 days of notification, or by november 13, 2000. you were informed of this requirement in the notice of responsibility nor issued to you on september 26, 2000. the nor specifically described the activities that should be included in the ira plan for this release, including an evaluation of the aboveground storage tank system at the site and removal of any remaining oil if necessary to prevent further releases, assessment of the extent of the release of fuel oil, private drinking water well sampling, and removal and disposal of contaminated soil. no rnf or ira plan has been submitted to the department.",2001,2-0013494,BERLIN,https://eeaonline.eea.state.ma.us/EEA/fileviewer/Rtn.aspx?rtn=2-0013494
2-0013494 - BERLIN - NON 12-11-2001,"['40.0314', '40.0501', '40.0315', '40.0443', '40.0404']","on september 19, 2000 the department was notified of a release of fuel oil at the abovereferenced site. a notice of responsibility was issued to you on september 26, 2000. a tier classification submittal or response action outcome statement rao was therefore required on or before september 19, 2001. no tier classification submittal or rao has been received by the department.",2001,2-0013494,BERLIN,https://eeaonline.eea.state.ma.us/EEA/fileviewer/Rtn.aspx?rtn=2-0013494
2-0012701 - MILFORD - NON  10-12-2000,"['40.926', '40.0973', '40.0926']","concentrations of co cg aliphatics and c c22 aromatics detected in groundwater collected in mw01 during the environmental site assessment esa, conducted in 1998, exceeded applicable gw1 method 1 risk characterization standards. groundwater samples were not obtained from mw01 subsequent to the esa to demonstrate that average exposure point concentrations do not exceed gw1 standards and a condition of no significant risk exists pursuant to 310 cmr 40.09734. the release abatement measure completion ramc report and class a2 response action outcome rao statement, received by the department on february 16, 2000, states contaminant concentrations in groundwater to have been reduced to below gw1gw3 method 1 standards based upon results of two 2 sampling rounds conducted in january 2000 following treatment system deactivation in december 1999. concentrations of c c2. aromatics and cy cio aromatics in monitoring well mw02 exceeded gw1 standards in october 1998. results of two 2 subsequent rounds of sampling, conducted in january 1999 following treatment system deactivation, were below standards. however, two 2 rounds of sampling conducted within one 1 month is inadequate to establish a temporal average concentration that accounts for potential seasonal variation as per 310 cmr 40.09263 considering previous exceedances of gw1 standards. failure to properly determine exposure point concentrations is a class ii violation.",2000,2-0012701,MILFORD,https://eeaonline.eea.state.ma.us/EEA/fileviewer/Rtn.aspx?rtn=2-0012701
2-0012701 - MILFORD - NON  10-12-2000,"['40.1004', '40.0900', '40.1003', '40.0191']","performance standards for response action qutcomes raos were not met pursuant to 310 cmr 40.1004 because the release abatement measure completion ramc report and class a2 rao, received by the department on february 16, 2000, was not supported by assessments and evaluations which are of sufficient scope, detail, and level of effort to characterize the risk of harm to health, safety, public welfare and the environment, specifically a the environmental site assessment report esa and class a2 response action outcome rao statement, did not contain laboratory reports for soil and groundwater samples obtained during soil boring and monitoring well installation in accordance with 310 cmr 40.00017 3. b it is unclear if soil samples obtained from borings were analyzed for eph target compounds or eph carbon ranges only. c depths of soil samples from soil borings are not provided. d soil types and site geology are not described. e depth to groundwater is not provided in the esa or rao. the esa notes groundwater flow is to the north and west based on previous subsurface investigation not provided. however, the ram plan notes groundwater flow is to the east. the rao does not note or clarify this contradiction, or provide seasonal gauging data to ascertain if groundwater flow direction is constant or variable. f monitoring wells mw01, mw03, and mw04, installed during the esa, are not depicted on subsequent site plans in the ram status report or ramcrao. no explanation of their omission is provided. the ram status report and ramcrao site plans depict two 2 additional monitoring wells mw05 and mw06 installed since the esa. the esa and rao do not contain any boring and monitoring well construction logs. 0 iib tomentose eet ene te en tonamemncinnnensnnsinuanastnengegeieeweegeewnnsneatnisiate seteeahs mann pueneenerinimnanientt nn i g a risk characterization was not completed as per 310 cmr 40.0900 which identifies receptors, migration pathways, soil classifications, exposure point concentrations for soil and groundwater, and background concentrations. h potential sources including an underground storage tank ust, located at the site property, and storm drain which traverses the site property and was known to have been impacted by a release from a separate property were not discussed or evaluated prior to achievement of the rao pursuant to 310 cmr 40.10035. failure to. meet performance standards for response action outcomes is a class ii violation.",2000,2-0012701,MILFORD,https://eeaonline.eea.state.ma.us/EEA/fileviewer/Rtn.aspx?rtn=2-0012701
2-0014193  - HARDWICK  NON  07-14-2004,"['40.0314', '40.0501', '40.0315', '40.0443', '40.0404']","the department received information that the property at the abovereferenced site had been subject to a release that resulted in the presence of no. 2 fuel oil in the soil that exceeds reportable concentrations. on march 6, 2002, the department issued a notice of responsibility which established the date of release as march 6, 2002, in accordance with 310 cmr 40.04043. a tier classification submittal or response action outcome statement rao was required on or before march 6, 2003. a tier classification submittal or rao has not been received by the department for this release in violation of 310 cmr 40.04043 and 40.05013.",2004,2-0014193,HARDWICK,https://eeaonline.eea.state.ma.us/EEA/fileviewer/Rtn.aspx?rtn=2-0014193
2-0000168 - WORCESTER - NON 04-27-2001,['40.0425'],"on march 6, 1997, you notified the department of the presence of nonaqueots phase contamination. on april 3, 1997 you notified the department of an imminent hazard condition at the site, specifically, the presence of polychlorinated biphenyls pcbs in accessible surficial soils at the site. concentrations of pcbswere reported at up to 7,800 part per million ppm, more than seven hundred times higher than the imminent hazard standard of 10 ppm. the department installation and maintenance of a fence to prevent access to the contaminated soil. tra status reports were received by the department.on july 14, 1997 and march 12, 1998. no other ira status reports have been submitted. frb e et pefireteerenans a eetetmetnte el anstw ten siemntreeceatn tienen ee feeaeee it pteechetlifiassyvenceeneuneneneyenspipsuneytetaanevahahacetitenahnnc nny nngetnn dbsnnanone tidfberdecestavesunnssonsiesenasese tier ib permit 102187",2001,2-0000168,WORCESTER,https://eeaonline.eea.state.ma.us/EEA/fileviewer/Rtn.aspx?rtn=2-0000168
2-0000168 - WORCESTER - NON 04-27-2001,['40.0445'],"on september 10, 1997, the department approved a release abatement measure ram plan for the site, including the removal and disposal of contaminated soil. no ram completion statement has been received, therefore ram status reports were required 120 days after the submission of the ram plan and every six months thereafter. no ram status reports have been submitted. .",2001,2-0000168,WORCESTER,https://eeaonline.eea.state.ma.us/EEA/fileviewer/Rtn.aspx?rtn=2-0000168
2-0000168 - WORCESTER - NON 04-27-2001,['40.0550'],"the department issued a tier ib permitfor this site that became effective on october 29, 1997. the deadline for completion and submittal of a phase ii comprehensive site assessment csa and phase iii remedial action plan rap was october 29, 1999, and the deadline for a phase iv remedy implementation plan rip was october 29, 2000.. the department has not received any of these submittals.",2001,2-0000168,WORCESTER,https://eeaonline.eea.state.ma.us/EEA/fileviewer/Rtn.aspx?rtn=2-0000168
2-0000168 - WORCESTER - NON 04-27-2001,['40.0740'],"on august 4, 1998, the department received a letter from lawrence lessard stating that he was no longer acting as the licensed site professional lspofrecord for the site. mr. lessard is listed on your permit as the lsp for this site. the department has not received a minor permit modification indicating the lsp overseeing response actions at this site.",2001,2-0000168,WORCESTER,https://eeaonline.eea.state.ma.us/EEA/fileviewer/Rtn.aspx?rtn=2-0000168
2-0013975 - ASHBY - NON  06-25-2003,"['40.0314', '40.0501', '40.0315', '40.0443', '40.0404']","on august 31, 2001, the department was notified that a release of gasoline in the soil and gasoline constituents in the ground water at concentration levels that exceed the applicable reportable concentrations had occurred, at the abovereferenced site. a notice of responsibility nor was issued to you on november 15, 2001, informing you of the requirement to tier classify the site within one year. on august 30, 2002 the department sent you a letter reminding you of the approaching deadline for tier classification. a tier classification submittal or response action outcome statement rao was required on or before august 31, 2002 as described in the nor. no tier classification submittal or rao has been received by the department for this release. .",2003,2-0013975,ASHBY,https://eeaonline.eea.state.ma.us/EEA/fileviewer/Rtn.aspx?rtn=2-0013975
2-0000457 - TOWNSEND -  NON  11-12-2003,"['40.0560', '40.0630', '40.0502']","based on available information the department determined that the above referenced location is an unclassified disposal site as defined in m.g.l. c. 21e and the massachusetts contingency plan 310 cmr 40.0000 the mcp. the department first confirmed this location as a site on january 25, 1991 and regulations in effect at the time 310 cmr 40.534 1 and 40.5343, stated that a phase i shall be completed within two 2 years and a final remedial response plan for a nonpriority disposal site, shall be completed within seven 7 years of the initial listing, respectively. the department sent you a notice of responsibility nor dated february 11, 1991, and you applied for and on march 2, 1992, were granted a waiver of department approvals to conduct response actions at the site. although a scope of work for the phase if comprehensive site assessment csa was submitted on december 14, 1999, insufficient actions have been conducted by you to complete response actions at the site. the waiver of approvals expired on january 25, 1998. consequently, the waiver of approvals is no longer in effect. pursuant to the regulations in effect at the time 310 cmr 40.5354, a phase iicsa, phase iii final remedial response frr plan, phase iv remedial response implementation rrd plan and phase iv final inspection report fir were due to the department by january 25, 1998. a waiver completion statement indicating completion of the required response actions was not submitted per 310 cmr 40.53711. to date, the department has not received the phase ii csa report, phase iii frr plan, phase iv rri plan or phase iv fir per 310 cmr 40.0560. the department has not received a",2003,2-0000457,TOWNSEND,https://eeaonline.eea.state.ma.us/EEA/fileviewer/Rtn.aspx?rtn=2-0000457
2-0011249 - SOUTH GRAFTON - NON  06-23-2003,['40.0550'],"the department issued a tier ib permit to the town of grafton, which was accepted and became effective on august 14, 1997. the deadline for completion and submittal of a phase ii comprehensive site assessment csa and phase iii remedial action plan rap was august 14, 1999, the deadline for submittal of a phase v remedy implementation plan rip was august 14, 2000, and the deadline for submittal of a response action outcome statement was august 14, 2002. the department received a phase i csa on april 18, 2000, more than eight months late. the department has not received the phase iii rap, phase iv rip, or rao. on may15, 2002, the department received a permit extension application, which stated that neither the source nor the extent of the contamination had been determined and that therefore a revised phase ii csa would be necessary. the permit extension application was incomplete because it did not include the applicable fee. in several phone communications and in two letters dated june 12, 2002 and october 24, 2002, the department informed the town of grafton of the need to complete the permit application by submitting the applicable fee. the fee has not been submitted. on august",2003,2-0011249,SOUTH GRAFTON,https://eeaonline.eea.state.ma.us/EEA/fileviewer/Rtn.aspx?rtn=2-0011249
2-0011112 - WORCESTER - NON A 03-31-2002,['40.0560'],"the department accepted a tier ii classification for this site on february 21, 1997. pursuant to 310 cmr 40.05602, a phase it comprehensive site assessment csa and phase iii remedial action plan rap were required by february 21, 1999, a phase iv remedy implementation plan was required by february 21, 2000, and a response action outcome. statement rao was required by february 21, 2002. none of these submittals have been . received by the department as of the date of this notice. ats",2002,2-0011112,WORCESTER,https://eeaonline.eea.state.ma.us/EEA/fileviewer/Rtn.aspx?rtn=2-0011112
2-0011112 - WORCESTER - NON A 03-31-2002,['40.0560'],"the department accepted a tier ii classification for this site on february 21, 1997, which expired on february 21, 2002. no tier if extension requests have been receiyor oy the department to date.",2002,2-0011112,WORCESTER,https://eeaonline.eea.state.ma.us/EEA/fileviewer/Rtn.aspx?rtn=2-0011112
2-0013076 - BELLINGHAM - NON B 12-11-2001,"['40.0420', '40.0333']","on january 17, 2000 the department was notified of a release of fuel oil from an aboveground storage tank ast system at the above referenced site. the release of approximately70 gallons of oil had been flushed or pushed out of the garage door at the site and subsequently impacted the soil outside the garage. on this same date the department approved an immediate response action ira for this release. a notice of responsibility nor was issued to you on january 27, 2000, informing you of the need to submit the release notification form rnf and ira plan within 60 days of notification, or by march 18, 2000. on june 1, 2000 the department received an ira plan that included the proposed assessment and also the application of fentons. reagent to remediate contaminated soil at the site. no rnf has been submitted.",2001,2-0013076,BELLINGHAM,https://eeaonline.eea.state.ma.us/EEA/fileviewer/Rtn.aspx?rtn=2-0013076
2-0013076 - BELLINGHAM - NON B 12-11-2001,['40.0425'],"on january 17, 2000 the department was notified of a release of fuel oil from an aboveground storage tank ast system at the above referenced site. on this same date the department approved an immediate response action ira for this release. on june 1, 2000 the department received an ira plan for this site. no ira status reports or completion statement have been submitted to the department since that time.",2001,2-0013076,BELLINGHAM,https://eeaonline.eea.state.ma.us/EEA/fileviewer/Rtn.aspx?rtn=2-0013076
2-0013076 - BELLINGHAM - NON B 12-11-2001,"['40.0314', '40.0501', '40.0315', '40.0022', '40.0167', '40.0404']","on january 17, 2000 the department was notified of a release of fuel oil from an aboveground storage tank ast system at the above referenced site. a notice of responsibility nor was issued to you on january 27, 2000, informing you of the requirement to tier classify the site within one year. november 8, 2000 the department sent you a letter rerninding you of the approaching deadline for tier classification. a tier classification submittal or response action outcome statement rao was required on or before january 17,2001. no tier classification submittal or rao has been received by the department for this release.at v4 .",2001,2-0013076,BELLINGHAM,https://eeaonline.eea.state.ma.us/EEA/fileviewer/Rtn.aspx?rtn=2-0013076
2-0000394 - SPENCER - NON 09-08-2000,['40.0560'],"the department accepted a tier ii classification for the site on august 8, 1996. pursuant i to 310 cmr 40.05602, a phase ii comprehensive site assessment and phase iii remedial action plan shall be submitted to the department within two 2 years, and a phase iv remedy implementation plan shall be submitted to the department within three 3 years of the effective . date of tier classification. as of this date, the department has not received the phase ii, phase ul or phase v reports.",2000,2-0000394,SPENCER,https://eeaonline.eea.state.ma.us/EEA/fileviewer/Rtn.aspx?rtn=2-0000394
2-0013836 - WEST BOYLSTON - NON 02-04-2003,"['40.0314', '40.0501', '40.0315', '40.0443', '40.0404']","on may 23, 2001, the department was notified that a release had occurred, at the abovereferenced site, which has resulted in the presence of oil in the soil and the groundwater at concentrations that exceed the applicable reportable concentrations. a notice of responsibility nor was issued to you on june 26, 2001, informing you of the requirement to tier classify the site within one year. on march 5, 2002 the department sent you a letter reminding you of the approaching deadline for tier classification. a tier classification submittal or response action outcome statement rao was required on or before may 23, 2002 as described in the nor. no tier classification submittalor rao has been received by the department for this release. s not complied with",2003,2-0013836,WEST BOYLSTON,https://eeaonline.eea.state.ma.us/EEA/fileviewer/Rtn.aspx?rtn=2-0013836
2-0000993 - SHIRLEY - NON  05-12-2003,['40.0550'],"the department issued a tier ic permit for this site that became effective on march 3, 2000. the deadline for completion and submittal of a phase ii comprehensive site assessment csa and phase iii remedial action plan rap was march 3, 2002, and the deadline for a phase iv remedy implementation plan rip was march 3, 2003. the department received the phase iii csa and phase ii rap late in august 2002, and the department has not received a phase iv rip as of the date of this notice.",2003,2-0000993,SHIRLEY,https://eeaonline.eea.state.ma.us/EEA/fileviewer/Rtn.aspx?rtn=2-0000993
2-0000776 - MEDWAY - NON  02-16-2001,['40.0445'],"on august 12, 1999, you submitted a release abatement measure ram plan for this release. no ram completion statement has been received, therefore ram status reports were required 120 days after the submission of the ram plan and every six months thereafter. no ram status reports have been submitted.",2001,2-0000776,MEDWAY,https://eeaonline.eea.state.ma.us/EEA/fileviewer/Rtn.aspx?rtn=2-0000776
2-0000776 - MEDWAY - NON  02-16-2001,['40.0550'],"the department issued a tier ic permit for this site to hemaro trust, which became effective on february 25, 1997. subsequently you purchased the subject site, and pursuant to your tier i permit transfer application, you became the permittee effective on june 14, 1999. the deadline for completion and submittal of a phase i comprehensive site assessment csa and phase iii remedial action plan rap was february 25, 1999, and the deadline for a phase iv remedy implementation plan rip was february 24, 2000. the department has not received any of these submittals.",2001,2-0000776,MEDWAY,https://eeaonline.eea.state.ma.us/EEA/fileviewer/Rtn.aspx?rtn=2-0000776
2-0000789 - OXFORD - NON 09-08-2003,"['40.0740', '40.0550', '40.0751']","a tier ic permit was issued to you and was accepted and became effective on october 9, 1995. the deadline for completion and submittal of a response action outcome statement rao was october 10, 2000. the department did not receive an rao within the required deadline. you requested an extension of the tier i permit, which the department granted with the condition that you submit an rao by december 31, 2001. in lieu of the rao, you submitted a remedy operation status ros opinion submittal on december 27, 2001. pursuant to 310 cmr 40.08934, the effect of a ros opinion submittal is that the deadline for rao shall not apply provided that the requirements of the ros continue to be met. on april 30, 2003, you filed a ros termination, stating that additional comprehensive response actions were required and that you intended to submit an rao by april 30, 2005. though a permit extension application was required at that time, it was not submitted until july 31, 2003, after the department issued a non for this violation. the department anticipates that the permit extension application will be presumptively approved on",2003,2-0000789,OXFORD,https://eeaonline.eea.state.ma.us/EEA/fileviewer/Rtn.aspx?rtn=2-0000789
2-0000412 - BOXBOROUGH - NON 04-20-2001,['40.0550'],"on march 15, 1994 the department issued a tier ib permit for this site, which was accepted and became effective on may 19, 1994. the required phase iit comprehensive site assessment csa, phase iii remedial action plan rap, phase v remedy implementation plan rip and response action outcome statement rao were never submitted.",2001,2-0000412,BOXBOROUGH,https://eeaonline.eea.state.ma.us/EEA/fileviewer/Rtn.aspx?rtn=2-0000412
2-0000412 - BOXBOROUGH - NON 04-20-2001,['40.0724'],"on december 9, 1994 the department issued a tier ib permit for this site, which was accepted and became effective on may 19, 1994. the tier ib permit expired may 19, 1999. although further response actions are required at the site, no tier ib permit extension application was filed with the department. on february 7, 2001, the department spoke to your attorney, george nader, to discuss the need to file a permit extension application for this site. as of the date of this notice, a permit extension application has not been submitted.",2001,2-0000412,BOXBOROUGH,https://eeaonline.eea.state.ma.us/EEA/fileviewer/Rtn.aspx?rtn=2-0000412
2-0000077 - LEOMINSTER - NON  11-18-2003,"['40.0874', '40.0835', '40.0861', '40.0879', '40.0560', '40.1000']","noncompliance the department accepted a tier ii classification for this site on january 24, 1995. pursuant to 310 cmr 40.05602, a phase if comprehensive site assessment csa and phase iii remedial action plan rap were required by january 24, 1997, a phase v remedy implementation plan was required january 24, 1998, and a response action outcome statement rao was required by january 24, 2000. none of these submittals have been received by the department as of the date of this notice.",2003,2-0000077,LEOMINSTER,https://eeaonline.eea.state.ma.us/EEA/fileviewer/Rtn.aspx?rtn=2-0000077
2-0012775 - HUDSON - NON  02-14-2001,"['40.1600', '40.0315']","on july 25, 2000, the department received an immediate response action completion report and response action outcome statement, prepared by mr. joel loitherstein, lsp, of loitherstein environmental, inc. and submitted to the department on behalf of g. bonazzoli sons, inc. the rao applies to release tracking number 212775 issued by the department in response to a release of gasoline at the property at 262 sawyer lane in hudson from former gasoline underground storage tanks. according to the report, soil and groundwater samples obtained on may 20, 1999 from the 262 sawyer lane property in the vicinity of a former fuel oil underground storage tank were found through jaboratory analysis to contain concentrations of petroleum hydrocarbons in excess of rcs1 and rcgw2 reportable concentrations. notification to the department of a release of petroleum hydrocarbons at the site was required within 120 days of the release date, or by september 20, 1999. to date, the department has not received notification for this release, i in violation of 310 cmr 40.0315.",2001,2-0012775,HUDSON,https://eeaonline.eea.state.ma.us/EEA/fileviewer/Rtn.aspx?rtn=2-0012775
2-0012775 - HUDSON - NON  02-14-2001,['40.0022'],"on april 30, 1999, the department received notification of a gasoline release at the site. in response to the notification, the department issued a notice of responsibility to g. release. a release notification form and immediate response action plan were due sixty days from the date of notification, or june 30, 1999. ira status reports were due 120 days from the date of notification and six months thereafter, or august 30, 1999 and february 30, 2000. a tier classification submittal or response action outcome statement were due one year from the date of notification, or april 30, 2000. the department did not receive any of the aforementioned submittals within the deadlines established under the imassachaseits contingency plan.",2001,2-0012775,HUDSON,https://eeaonline.eea.state.ma.us/EEA/fileviewer/Rtn.aspx?rtn=2-0012775
